Year	Species	Weight (kg)
2016	bluefin tuna	44.00
2016	bluefin tuna	34.47
2016	bluefin tuna	34.93
2016	bluefin tuna	29.48
2017	bluefin tuna	45.81
2017	bluefin tuna	40.82
2017	bluefin tuna	43.32
2017	bluefin tuna	95.25
2017	bluefin tuna	25.76
2017	bluefin tuna	45.36
2017	bluefin tuna	58.88
2017	bluefin tuna	88.81
2017	bluefin tuna	49.89
2017	bluefin tuna	80.29
2017	bluefin tuna	94.44
2017	bluefin tuna	78.02
2017	bluefin tuna	50.35
2017	bluefin tuna	49.17
2017	bluefin tuna	88.00
2017	bluefin tuna	78.02
2017	bluefin tuna	91.17
2017	bluefin tuna	58.97
2017	bluefin tuna	63.50
2017	bluefin tuna	114.30
2017	bluefin tuna	102.06
2017	bluefin tuna	112.49
2017	bluefin tuna	93.89
2017	bluefin tuna	87.54
2017	bluefin tuna	63.96
2017	bluefin tuna	121.79
2017	bluefin tuna	56.70
2017	bluefin tuna	65.77
2017	bluefin tuna	95.25
2017	bluefin tuna	58.65
2017	bluefin tuna	116.57
2017	bluefin tuna	85.73
2017	bluefin tuna	95.25
2017	bluefin tuna	66.68
2017	bluefin tuna	67.13
2017	bluefin tuna	44.91
2017	bluefin tuna	39.92
2017	bluefin tuna	63.50
2017	bluefin tuna	58.97
2017	bluefin tuna	42.18
2017	bluefin tuna	44.00
2017	bluefin tuna	92.99
2017	bluefin tuna	15.88
2017	bluefin tuna	112.04
2017	bluefin tuna	34.93
2017	bluefin tuna	156.53
2017	bluefin tuna	40.82
2017	bluefin tuna	20.41
2017	bluefin tuna	68.95
2017	bluefin tuna	118.84
2017	bluefin tuna	132.90
2017	bluefin tuna	68.95
2017	bluefin tuna	140.61
2017	bluefin tuna	30.39
2017	bluefin tuna	23.13
2017	bluefin tuna	35.38
2017	bluefin tuna	81.10
2017	bluefin tuna	77.11
2017	bluefin tuna	22.68
2017	bluefin tuna	20.41
2017	bluefin tuna	13.61
2018	bluefin tuna	68.95
2018	bluefin tuna	77.11
2018	bluefin tuna	21.32
2018	bluefin tuna	31.75
2018	bluefin tuna	22.68
2018	bluefin tuna	72.57
2018	bluefin tuna	81.65
2018	bluefin tuna	29.94
2018	bluefin tuna	22.68
2018	bluefin tuna	86.18
2018	bluefin tuna	81.65
2018	bluefin tuna	32.57
2018	bluefin tuna	83.91
2018	bluefin tuna	90.81
2018	bluefin tuna	90.90
2018	bluefin tuna	88.90
2018	bluefin tuna	39.92
2018	bluefin tuna	30.39
